term,label,or,lcl,ucl,orci_text,p_text
year_f2019,Year: 2019 vs 2010,0.4594228951194317,0.274127861366959,0.7699669617944235,0.46 (0.27-0.77),0.003
subspecfunctional_peripheral_nerve,Functional/Peripheral Nerve vs General/Other,1.3425195677121184,0.6165279940221987,2.9234013818763236,1.34 (0.62-2.92),0.458
subspecpediatrics,Pediatrics vs General/Other,3.870376326777505,1.3273093276635395,11.285849197826906,3.87 (1.33-11.29),0.013
subspecspine,Spine vs General/Other,1.5584831650168458,0.7246223006197512,3.351911435189855,1.56 (0.72-3.35),0.256
subspectrauma_critical_care,Trauma/Critical Care vs General/Other,2.0277353368543394,0.7625553773446714,5.392015738772121,2.03 (0.76-5.39),0.157
subspectumor,Tumor vs General/Other,1.4911485396627049,0.7380912323444784,3.0125326923006512,1.49 (0.74-3.01),0.265
subspecvascular_stroke,Vascular/Stroke vs General/Other,1.4831741613814213,0.7009616533414859,3.1382680956982507,1.48 (0.70-3.14),0.303
med_studentyes,Medical student first author: Yes vs No,0.5261803049544138,0.30438989023429097,0.9095759162987133,0.53 (0.30-0.91),0.021
senior_countryinternational,International senior author: International vs USA,1.455048617181455,0.78074814104019,2.711715042370726,1.46 (0.78-2.71),0.238
n_authors,Number of authors in abstract (per +1 author),1.1319877521336608,1.0442121951729342,1.227141645064204,1.13 (1.04-1.23),0.003
first_genderfemale,Female first author (abstract): Female vs Male,1.0415263356667626,0.5879930056377094,1.8448809721995516,1.04 (0.59-1.84),0.889
senior_genderfemale,Female senior author (abstract): Female vs Male,1.1603238188294176,0.5823850986678423,2.311788827740528,1.16 (0.58-2.31),0.672
award_fyes,Award-winning abstract: Yes vs No,0.9187589864010146,0.45195241586144924,1.8677144882247805,0.92 (0.45-1.87),0.815
