"Characteristic","Overall (n=353)","2010 (n=136)","2019 (n=217)","Effect size","P-value"
"Number of abstracts","353","136","217","—","—"
"Subspecialty, n (%)","—","—","—","V=0.204","0.023"
"  Functional/Peripheral Nerve","51 (14.4%)","16 (11.8%)","35 (16.1%)","—","—"
"  General/Other","73 (20.7%)","37 (27.2%)","36 (16.6%)","—","—"
"  Pediatrics","24 (6.8%)","6 (4.4%)","18 (8.3%)","—","—"
"  Spine","51 (14.4%)","25 (18.4%)","26 (12.0%)","—","—"
"  Trauma/Critical Care","26 (7.4%)","5 (3.7%)","21 (9.7%)","—","—"
"  Tumor","71 (20.1%)","28 (20.6%)","43 (19.8%)","—","—"
"  Vascular/Stroke","57 (16.1%)","19 (14.0%)","38 (17.5%)","—","—"
"Medical student first author, n (%)","112 (31.7%)","9 (6.6%)","103 (47.5%)","0.878","<0.001"
"International senior author, n (%)","57 (16.1%)","31 (22.8%)","26 (12.0%)","0.294","0.007"
"Number of authors in abstract, median (IQR)","6.0 (4.0–8.0)","5.0 (3.0–7.0)","6.0 (4.0–9.0)","0.388","<0.001"
"Female first author (abstract; inferred/perceived), n (%)","75 (21.2%)","18 (13.2%)","57 (26.3%)","0.319","0.004"
"Female senior author (abstract; inferred/perceived), n (%)","44 (12.5%)","14 (10.3%)","30 (13.8%)","0.107","0.328"
"Gender concordance (first vs senior; abstract), n (%)","258 (73.1%)","107 (78.7%)","151 (69.6%)","0.205","0.061"
"Award-winning abstract, n (%)","40 (11.3%)","20 (14.7%)","20 (9.2%)","0.173","0.113"
"Published (podium-to-print), n (%)","176 (49.9%)","84 (61.8%)","92 (42.4%)","0.387","<0.001"
"Time to publication (months), median (IQR) [published only]","12.0 (7.0–20.0)","14.0 (8.0–22.5)","10.0 (5.0–15.2)","0.455","0.011"
